Categoría,Sección,Regla_Negocio
Información Institucional,Historia,"Lignum Atelier inició su trayectoria hace más de veinticinco años como un modesto emprendimiento familiar liderado por Don Manuel Rojas, quien bajo un enfoque de excelencia artesanal confeccionaba piezas únicas de mobiliario con el apoyo de un grupo reducido de operarios calificados en su taller inicial. La dedicación minuciosa a la calidad de los materiales, el diseño estructural y el servicio personalizado impulsaron un crecimiento sostenido que transformó aquel taller en una organización de prestigio y cobertura a nivel nacional. A pesar de la modernización tecnológica, la automatización de procesos productivos y la consolidación de un departamento formal de Gestión Humana, Lignum Atelier preserva intacto el legado de su fundador, manteniendo relaciones laborales basadas en el respeto mutuo, la honestidad comercial, el compromiso social y el fomento continuo del potencial de cada uno de sus colaboradores dentro de la estructura organizacional."
Información Institucional,Misión,"La misión fundamental de Lignum Atelier consiste en diseñar, fabricar y comercializar soluciones de mobiliario de la más alta calidad y valor estético, fusionando técnicas artesanales tradicionales con procesos industriales de vanguardia para satisfacer plenamente las necesidades de optimización de espacios de nuestros clientes. Nos comprometemos de manera prioritaria a propiciar un entorno de trabajo integral, seguro y motivador para nuestros colaboradores, asegurando que cada etapa de la cadena de valor refleje nuestro apego a la sostenibilidad ambiental, la viabilidad financiera de la organización y el desarrollo social de la comunidad, consolidando así un ecosistema corporativo donde el talento humano sea el principal motor del éxito empresarial de nuestra marca."
Información Institucional,Visión,"La visión estratégica de Lignum Atelier proyecta consolidar a la organización para los próximos años como la empresa líder y referente indiscutible en el mercado nacional de diseño y fabricación de mobiliario de madera, siendo reconocidos por la innovación constante de nuestros diseños, la sostenibilidad en la obtención de materias primas y la digitalización integral de nuestros servicios internos y externos. Aspiramos a ser distinguidos consistentemente como uno de los mejores lugares para trabajar en el país, implementando políticas de Recursos Humanos de vanguardia que atraigan, retengan y potencien al mejor talento del sector, asegurando un crecimiento corporativo sostenible que trascienda fronteras y mantenga el espíritu de excelencia operativa que nos ha caracterizado desde nuestros orígenes."
Información Institucional,Valores,"El marco de valores corporativos de Lignum Atelier constituye la base ética y operativa que guía todas las decisiones, comportamientos y relaciones dentro y fuera de la empresa. Estos valores son el Respeto, que exige el reconocimiento de la dignidad inherente a cada persona; el Compromiso, reflejado en la entrega consciente hacia los objetivos organizacionales y el bienestar colectivo; la Honestidad, que impera en la transparencia, rectitud y veracidad de cada acto; el Trabajo en Equipo, concebido como la sinergia colaborativa que potencia las capacidades individuales; y el Desarrollo Humano, entendido como la búsqueda constante del crecimiento profesional, familiar y personal de cada uno de los integrantes que conforman la plantilla de colaboradores de nuestra gran familia laboral."
Información Institucional,Cultura Organizacional,"La cultura organizacional de Lignum Atelier se define como un modelo de gestión participativo y de puertas abiertas que amalgama la rigurosidad y profesionalismo de una gran empresa con la calidez, empatía y cercanía propias de sus raíces familiares originarias. Promovemos activamente un ambiente de comunicación bidireccional donde las ideas de todos los colaboradores son valoradas, se incentiva la innovación en los procesos de diseño y producción, y se celebra el cumplimiento de metas mediante reconocimientos equitativos. Esta cultura busca que cada empleado experimente un profundo sentido de pertenencia y orgullo, asumiendo su rol no solo como un puesto de trabajo, sino como una contribución esencial al legado de calidad y calidez que la organización proyecta hacia la sociedad."
Información Institucional,Organigrama,"La estructura jerárquica y funcional de Lignum Atelier está diseñada para garantizar una delegación de responsabilidades clara y una toma de decisiones eficiente en todos los niveles operacionales y administrativos. El organigrama institucional está encabezado por la Asamblea General de Accionistas y la Dirección Ejecutiva General, de la cual se desprenden las Direcciones de Operaciones y Producción, Finanzas y Administración, Comercial y Mercadeo, y la Dirección de Gestión Humana. Cada una de estas direcciones cuenta con gerencias específicas, coordinaciones y jefaturas de área que supervisan directamente a los equipos técnicos, comerciales y operativos. Es política obligatoria de la empresa que todos los colaboradores conozcan esta estructura jerárquica para canalizar adecuadamente sus solicitudes, reportes e iniciativas a través de las líneas de mando formalmente establecidas."
Información Institucional,Objetivos del área de Recursos Humanos,"El departamento de Gestión Humana de Lignum Atelier establece como sus objetivos estratégicos principales la atracción y selección de talento alineado con los valores corporativos, el diseño e implementación de planes de capacitación continua que cierren brechas de competencias operativas, y el mantenimiento de un clima organizacional óptimo basado en la equidad y el bienestar. Asimismo, se enfoca en asegurar el cumplimiento irrestricto de la normativa laboral interna, administrar los sistemas de compensación y beneficios de manera justa y transparente, y liderar las iniciativas de salud ocupacional y seguridad en el trabajo, orientando todas sus acciones a consolidar un entorno laboral que potencie el rendimiento del colaborador y respalde los planes de crecimiento y sostenibilidad a largo plazo definidos por la alta dirección."
Política de Privacidad,Tratamiento de datos personales,"Lignum Atelier se compromete de manera irrestricta a garantizar la confidencialidad, integridad y seguridad de todos los datos personales recolectados, almacenados y procesados de sus colaboradores durante el ciclo de la relación laboral. El tratamiento de la información personal se limitará estrictamente a finalidades institucionales legítimas, tales como la gestión de nómina, la afiliación a sistemas de seguridad social y salud, la evaluación del desempeño, la asignación de planes de capacitación y la gestión de beneficios corporativos. La organización implementará medidas técnicas y administrativas severas para evitar el acceso no autorizado, la alteración, pérdida o divulgación de dicha información, asegurando que únicamente el personal debidamente autorizado de Recursos Humanos y nómina tenga acceso a estos datos en el ejercicio estricto de sus funciones corporativas."
Política de Privacidad,Protección de expedientes,"Los expedientes laborales de los empleados de Lignum Atelier, tanto en formato físico como digital, se consideran activos de alta confidencialidad y están sujetos a protocolos estrictos de custodia y protección. Los archivos físicos se almacenan en archivadores de seguridad con acceso restringido mediante llave y control biométrico, ubicados exclusivamente en las dependencias de Gestión Humana, mientras que los expedientes digitales se alojan en servidores corporativos con cifrado de datos avanzado y autenticación de doble factor. Queda terminantemente prohibida la reproducción, extracción o remoción de cualquier documento contenido en el expediente laboral sin la autorización previa, expresa y por escrito del Director de Recursos Humanos, sancionándose penal o administrativamente cualquier contravención a esta disposición."
Política de Privacidad,Confidencialidad,"Todos los colaboradores de Lignum Atelier que, por la naturaleza de sus responsabilidades en áreas como Recursos Humanos, Finanzas, Nómina, Legal o Gerencia, tengan acceso a información sensible de la plantilla laboral, están obligados a firmar y cumplir un Acuerdo de Confidencialidad Riguroso. Esta obligación de reserva permanente se extiende al salario, condiciones médicas, sanciones disciplinarias, evaluaciones de desempeño e información familiar de los empleados, y subsistirá de forma indefinida incluso después de finalizada la relación laboral con la organización. El quebrantamiento del deber de confidencialidad, la filtración de datos o el uso indebido de información reservada será considerado una falta gravísima que facultará a la empresa a rescindir el contrato de trabajo de manera inmediata por justa causa."
Política de Privacidad,Acceso a información,"El acceso a la información contenida en las bases de datos y expedientes de Gestión Humana de Lignum Atelier está estrictamente regulado bajo el principio de necesidad de conocer. Únicamente los analistas, coordinadores y directores del área de Recursos Humanos en el cumplimiento directo de sus responsabilidades laborales vigentes tendrán autorización para consultar dicha información. En caso de requerimientos por parte de jefes inmediatos o gerentes de otras divisiones, estos deberán canalizar su solicitud formal fundamentando las razones operativas que justifican el acceso, el cual será evaluado y, de ser procedente, autorizado de manera puntual y limitada por la Dirección de Gestión Humana, garantizando que no se vulneren los derechos de privacidad de los colaboradores de la empresa."
Política de Privacidad,Conservación documental,"Lignum Atelier establece que los documentos constitutivos de la relación laboral con sus empleados, incluyendo contratos de trabajo, afiliaciones a esquemas prestacionales, registros de nómina, hojas de vida, soportes académicos y constancias disciplinarias, se conservarán en los archivos activos de la empresa durante toda la vigencia del vínculo contractual. Una vez finalizada la relación laboral por cualquier causa, el expediente completo será trasladado al archivo histórico pasivo de la organización, donde se mantendrá custodiado con los mismos estándares de seguridad por un período obligatorio de veinte años, con el propósito de atender posibles requerimientos legales, auditorías institucionales o expedición de certificaciones laborales posteriores, procediéndose tras este lapso a su disposición final regulada."
